am_sid.x,am_cat,sciname,iucn_sid.x,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
NA,NA,Calidris pugnax,22693468,Decreasing,LC,BOTW,22693468,NA,iucn-bli,0,-0.5
NA,NA,Calidris temminckii,22693388,Unknown,LC,BOTW,22693388,NA,iucn-bli,0,NA
NA,NA,Catharacta skua,22694160,Stable,LC,BOTW,22694160,NA,iucn-bli,0,0
NA,NA,Charadrius dubius,22693770,Stable,LC,BOTW,22693770,NA,iucn-bli,0,0
NA,NA,Charadrius hiaticula,22693759,Decreasing,LC,BOTW,22693759,NA,iucn-bli,0,-0.5
NA,NA,Corvus corone,22706016,Increasing,LC,BOTW,22706016,NA,iucn-bli,0,0.5
NA,NA,Corvus monedula,22705929,Stable,LC,BOTW,22705929,NA,iucn-bli,0,0
NA,NA,Cygnus olor,22679839,Increasing,LC,BOTW,22679839,NA,iucn-bli,0,0.5
NA,NA,Eremophila alpestris,22717434,Decreasing,LC,BOTW,22717434,NA,iucn-bli,0,-0.5
NA,NA,Falco columbarius,22696453,Stable,LC,BOTW,22696453,NA,iucn-bli,0,0
NA,NA,Falco peregrinus,45354964,Stable,LC,BOTW,45354964,NA,iucn-bli,0,0
NA,NA,Falco rusticolus,22696500,Stable,LC,BOTW,22696500,NA,iucn-bli,0,0
NA,NA,Fulica atra,22692913,Decreasing,LC,BOTW,22692913,NA,iucn-bli,0,-0.5
NA,NA,Gallinula chloropus,62120190,Stable,LC,BOTW,62120190,NA,iucn-bli,0,0
NA,NA,Gavia adamsii,22697847,Decreasing,NT,BOTW,22697847,NA,iucn-bli,0.2,-0.5
NA,NA,Gavia arctica,22697834,Decreasing,LC,BOTW,22697834,NA,iucn-bli,0,-0.5
NA,NA,Gavia immer,22697842,Decreasing,LC,BOTW,22697842,NA,iucn-bli,0,-0.5
NA,NA,Gavia stellata,22697829,Decreasing,LC,BOTW,22697829,NA,iucn-bli,0,-0.5
NA,NA,Grus grus,22692146,Unknown,LC,BOTW,22692146,NA,iucn-bli,0,NA
NA,NA,Haematopus ostralegus,22733462,Decreasing,NT,BOTW,22733462,NA,iucn-bli,0.2,-0.5
NA,NA,Haliaeetus albicilla,22695137,Increasing,LC,BOTW,22695137,NA,iucn-bli,0,0.5
NA,NA,Hydrobates pelagicus,22698477,Decreasing,LC,BOTW,22698477,NA,iucn-bli,0,-0.5
NA,NA,Jynx torquilla,22680683,Decreasing,LC,BOTW,22680683,NA,iucn-bli,0,-0.5
NA,NA,Limosa lapponica,22693158,Decreasing,NT,BOTW,22693158,NA,iucn-bli,0.2,-0.5
NA,NA,Limosa limosa,22693150,Decreasing,NT,BOTW,22693150,NA,iucn-bli,0.2,-0.5
NA,NA,Luscinia svecica,22709707,Stable,LC,BOTW,22709707,NA,iucn-bli,0,0
NA,NA,Lymnocryptes minimus,22693133,Stable,LC,BOTW,22693133,NA,iucn-bli,0,0
NA,NA,Mergellus albellus,22680465,Decreasing,LC,BOTW,22680465,NA,iucn-bli,0,-0.5
NA,NA,Mergus merganser,22680492,Increasing,LC,BOTW,22680492,NA,iucn-bli,0,0.5
NA,NA,Motacilla citreola,22718379,Stable,LC,BOTW,22718379,NA,iucn-bli,0,0
NA,NA,Numenius arquata,22693190,Decreasing,NT,BOTW,22693190,NA,iucn-bli,0.2,-0.5
NA,NA,Numenius phaeopus,22693178,Decreasing,LC,BOTW,22693178,NA,iucn-bli,0,-0.5
NA,NA,Oenanthe oenanthe,22710272,Decreasing,LC,BOTW,22710272,NA,iucn-bli,0,-0.5
NA,NA,Parus palustris,22735995,Decreasing,LC,BOTW,22735995,NA,iucn-bli,0,-0.5
NA,NA,Phalaropus fulicarius,22693494,Decreasing,LC,BOTW,22693494,NA,iucn-bli,0,-0.5
NA,NA,Phalaropus lobatus,22693490,Decreasing,LC,BOTW,22693490,NA,iucn-bli,0,-0.5
NA,NA,Pinguinus impennis,22694856,NA,EX,BOTW,22694856,NA,iucn-bli,1,NA
NA,NA,Plectrophenax nivalis,22721043,Decreasing,LC,BOTW,22721043,NA,iucn-bli,0,-0.5
NA,NA,Pluvialis apricaria,22693727,Decreasing,LC,BOTW,22693727,NA,iucn-bli,0,-0.5
NA,NA,Pluvialis squatarola,22693749,Decreasing,LC,BOTW,22693749,NA,iucn-bli,0,-0.5
NA,NA,Podiceps auritus,22696606,Decreasing,VU,BOTW,22696606,NA,iucn-bli,0.4,-0.5
NA,NA,Podiceps grisegena,22696599,Decreasing,LC,BOTW,22696599,NA,iucn-bli,0,-0.5
NA,NA,Puffinus mauretanicus,22728432,Decreasing,CR,BOTW,22728432,NA,iucn-bli,0.8,-0.5
NA,NA,Sturnus vulgaris,22710886,Decreasing,LC,BOTW,22710886,NA,iucn-bli,0,-0.5
NA,NA,Tadorna tadorna,22680024,Increasing,LC,BOTW,22680024,NA,iucn-bli,0,0.5
NA,NA,Xenus cinereus,22693251,Stable,LC,BOTW,22693251,NA,iucn-bli,0,0
NA,NA,Tringa erythropus,22693207,Stable,LC,BOTW,22693207,NA,iucn-bli,0,0
NA,NA,Tringa nebularia,22693220,Stable,LC,BOTW,22693220,NA,iucn-bli,0,0
NA,NA,Tringa totanus,22693211,Unknown,LC,BOTW,22693211,NA,iucn-bli,0,NA
NA,NA,Vanellus vanellus,22693949,Decreasing,NT,BOTW,22693949,NA,iucn-bli,0.2,-0.5
Fis-27330,NA,Lipophrys pholis,185180,Unknown,LC,COMBTOOTHBLENNIES,185180,NA,iucn,0,NA
Fis-49149,NA,Parablennius ruber,185162,Stable,LC,COMBTOOTHBLENNIES,185162,NA,iucn,0,0
Fis-24942,NA,Scartella cristata,198632,Stable,LC,COMBTOOTHBLENNIES,198632,NA,iucn,0,0
ITS-660111,LC,Pentacheles snyderi,185061,Unknown,LC,LOBSTERS,185061,NA,iucn,0,NA
ITS-97315,LC,Homarus gammarus,169955,Stable,LC,LOBSTERS,169955,NA,iucn,0,0
ITS-97317,LC,Nephrops norvegicus,169967,Stable,LC,LOBSTERS,169967,NA,iucn,0,0
ITS-552917,LC,Nephropsis atlantica,170044,Unknown,LC,LOBSTERS,170044,NA,iucn,0,NA
ITS-660110,LC,Pentacheles laevis,185038,Stable,LC,LOBSTERS,185038,NA,iucn,0,0
ITS-97688,LC,Polycheles typhlops,185026,Stable,LC,LOBSTERS,185026,NA,iucn,0,0
NA,NA,Stereomastis nana,185000,Stable,LC,LOBSTERS,185000,NA,iucn,0,0
NA,NA,Stereomastis sculpta,185037,Stable,LC,LOBSTERS,185037,NA,iucn,0,0
ITS-Mam-180533,LC,Balaena mysticetus,2468,NA,NT,MARINE_MAMMALS_update,2468,Bering-Chukchi-Beaufort Sea,iucn,0.2,NA
ITS-Mam-180524,LC,Balaenoptera acutorostrata,2474,Stable,LC,MARINE_MAMMALS_update,2474,NA,iucn,0,0
ITS-Mam-180526,EN,Balaenoptera borealis,2475,Unknown,EN,MARINE_MAMMALS_update,2475,NA,iucn,0.6,NA
ITS-Mam-180525,DD,Balaenoptera edeni,2476,Unknown,DD,MARINE_MAMMALS_update,2476,NA,iucn,NA,NA
ITS-Mam-180528,EN,Balaenoptera musculus,2477,Increasing,EN,MARINE_MAMMALS_update,2477,NA,iucn,0.6,0.5
ITS-Mam-180527,EN,Balaenoptera physalus,2478,Unknown,EN,MARINE_MAMMALS_update,2478,NA,iucn,0.6,NA
ITS-Mam-180657,VU,Cystophora cristata,6204,Decreasing,VU,MARINE_MAMMALS_update,6204,NA,iucn,0.4,-0.5
ITS-Mam-180483,NT,Delphinapterus leucas,6335,Unknown,NT,MARINE_MAMMALS_update,6335,NA,iucn,0.2,NA
ITS-Mam-180438,LC,Delphinus delphis,6336,Unknown,LC,MARINE_MAMMALS_update,6336,NA,iucn,0,NA
ITS-Mam-180655,LC,Erignathus barbatus,8010,Stable,LC,MARINE_MAMMALS_update,8010,NA,iucn,0,0
ITS-Mam-180521,LC,Eschrichtius robustus,8097,Stable,LC,MARINE_MAMMALS_update,8097,NA,iucn,0,0
ITS-Mam-180537,EN,Eubalaena glacialis,41712,Unknown,EN,MARINE_MAMMALS_update,41712,NA,iucn,0.6,NA
ITS-Mam-552461,DD,Globicephala melas,9250,Unknown,DD,MARINE_MAMMALS_update,9250,NA,iucn,NA,NA
ITS-Mam-180457,LC,Grampus griseus,9461,Unknown,LC,MARINE_MAMMALS_update,9461,NA,iucn,0,NA
ITS-Mam-180653,LC,Halichoerus grypus,9660,Increasing,LC,MARINE_MAMMALS_update,9660,NA,iucn,0,0.5
ITS-Mam-180443,LC,Lagenorhynchus acutus,11141,Unknown,LC,MARINE_MAMMALS_update,11141,NA,iucn,0,NA
ITS-Mam-180442,LC,Lagenorhynchus albirostris,11142,Unknown,LC,MARINE_MAMMALS_update,11142,NA,iucn,0,NA
ITS-Mam-180530,LC,Megaptera novaeangliae,13006,Increasing,LC,MARINE_MAMMALS_update,13006,NA,iucn,0,0.5
ITS-Mam-180515,DD,Mesoplodon bidens,13241,Unknown,DD,MARINE_MAMMALS_update,13241,NA,iucn,NA,NA
ITS-Mam-180485,NT,Monodon monoceros,13704,Unknown,NT,MARINE_MAMMALS_update,13704,NA,iucn,0.2,NA
ITS-Mam-180639,DD,Odobenus rosmarus,15106,Unknown,DD,MARINE_MAMMALS_update,15106,NA,iucn,NA,NA
ITS-Mam-622022,LC,Pagophilus groenlandicus,41671,Increasing,LC,MARINE_MAMMALS_update,41671,NA,iucn,0,0.5
ITS-Mam-180649,LC,Phoca vitulina,17013,Stable,LC,MARINE_MAMMALS_update,17013,NA,iucn,0,0
ITS-Mam-180473,LC,Phocoena phocoena,17027,Unknown,LC,MARINE_MAMMALS_update,17027,NA,iucn,0,NA
ITS-Mam-180488,VU,Physeter macrocephalus,41755,Unknown,VU,MARINE_MAMMALS_update,41755,NA,iucn,0.4,NA
ITS-Mam-180463,DD,Pseudorca crassidens,18596,Unknown,DD,MARINE_MAMMALS_update,18596,NA,iucn,NA,NA
ITS-Mam-622018,LC,Pusa hispida,41672,Unknown,LC,MARINE_MAMMALS_update,41672,NA,iucn,0,NA
ITS-Mam-180434,LC,Stenella coeruleoalba,20731,Unknown,LC,MARINE_MAMMALS_update,20731,NA,iucn,0,NA
ITS-Mam-180426,LC,Tursiops truncatus,22563,Unknown,LC,MARINE_MAMMALS_update,22563,NA,iucn,0,NA
ITS-Mam-180498,LC,Ziphius cavirostris,23211,Unknown,LC,MARINE_MAMMALS_update,23211,NA,iucn,0,NA
Fis-136019,NA,Lagocephalus lagocephalus,190464,Unknown,LC,PUFFERFISH,190464,NA,iucn,0,NA
Rep-4381,VU,Dermochelys coriacea,46967863,Decreasing,CR,REPTILES_update,46967863,Southwest Indian,iucn,0.8,-0.5
Fis-22849,NA,Boops boops,170251,Stable,LC,SEABREAMS_PORGIES,170251,NA,iucn,0,0
Fis-23207,NA,Pagellus bogaraveo,170244,Decreasing,NT,SEABREAMS_PORGIES,170244,NA,iucn,0.2,-0.5
Fis-6123,NA,Sparus aurata,170253,Stable,LC,SEABREAMS_PORGIES,170253,NA,iucn,0,0
Fis-23826,NA,Spondyliosoma cantharus,170258,Unknown,LC,SEABREAMS_PORGIES,170258,NA,iucn,0,NA
SLB-66024,LC,Holothuria tubulosa,180455,Unknown,LC,SEACUCUMBERS,180455,NA,iucn,0,NA
NA,NA,Bathyplotes natans,180452,Stable,LC,SEACUCUMBERS,180452,NA,iucn,0,0
NA,NA,Mesothuria intestinalis,180540,Unknown,LC,SEACUCUMBERS,180540,NA,iucn,0,NA
NA,NA,Mesothuria lactea,180468,Unknown,LC,SEACUCUMBERS,180468,NA,iucn,0,NA
NA,NA,Holothuria forskali,180297,Unknown,LC,SEACUCUMBERS,180297,NA,iucn,0,NA
NA,NA,Zostera noltii,173361,Decreasing,LC,SEAGRASSES,173361,NA,iucn,0,-0.5
NA,NA,Zostera marina,153538,Decreasing,LC,SEAGRASSES,153538,NA,iucn,0,-0.5
ITS-Mam-621916,NT,Lutra lutra,12419,Decreasing,NT,TERRESTRIAL_MAMMALS,12419,NA,iucn,0.2,-0.5
NA,NA,Vulpes lagopus,899,Stable,LC,TERRESTRIAL_MAMMALS,899,NA,iucn,0,0
NA,NA,Ursus maritimus,22823,Decreasing,VU,TERRESTRIAL_MAMMALS,22823,NA,iucn,0.4,-0.5
Fis-22777,LC,Katsuwonus pelamis,170310,Stable,LC,TUNAS_BILLFISHES,170310,NA,iucn,0,0
Fis-22818,LC,Sarda sarda,155096,Stable,LC,TUNAS_BILLFISHES,155096,NA,iucn,0,0
Fis-29508,LC,Scomber scombrus,170354,Decreasing,LC,TUNAS_BILLFISHES,170354,NA,iucn,0,-0.5
Fis-49220,EN,Thunnus thynnus,170341,Decreasing,VU,TUNAS_BILLFISHES,170341,NA,iucn,0.4,-0.5
Fis-29576,LC,Xiphias gladius,23148,Decreasing,LC,TUNAS_BILLFISHES,23148,NA,iucn,0,-0.5
Fis-22735,LC,Acanthocybium solandri,170331,Stable,LC,TUNAS_BILLFISHES,170331,NA,iucn,0,0
Fis-26619,LC,Acantholabrus palloni,186106,Unknown,LC,WRASSE,186106,NA,iucn,0,NA
Fis-22745,LC,Centrolabrus exoletus,187803,Unknown,LC,WRASSE,187803,NA,iucn,0,NA
Fis-22750,LC,Coris julis,187752,Stable,LC,WRASSE,187752,NA,iucn,0,0
Fis-22752,LC,Ctenolabrus rupestris,187751,Stable,LC,WRASSE,187751,NA,iucn,0,0
Fis-29425,LC,Labrus bergylta,187398,Unknown,LC,WRASSE,187398,NA,iucn,0,NA
Fis-3208,LC,Labrus mixtus,187397,Stable,LC,WRASSE,187397,NA,iucn,0,0
Fis-27320,LC,Symphodus bailloni,187522,Unknown,LC,WRASSE,187522,NA,iucn,0,NA
Fis-22769,LC,Symphodus melops,187748,Stable,LC,WRASSE,187748,NA,iucn,0,0
Fis-24399,NA,Acantholumpenus mackayi,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29593,CR,Acipenser sturio,230,Decreasing,CR,NA,NA,NA,am,0.8,-0.5
Fis-22710,NA,Agonus cataphractus,18227168,Increasing,LC,NA,NA,NA,am,0,0.5
Fis-26565,NA,Aldrovandia affinis,190356,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27254,NA,Aldrovandia phalacra,195838,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29601,NA,Alepisaurus brevirostris,60469186,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29263,LC,Alepisaurus ferox,154820,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33231,NA,Alepocephalus agassizii,15147715,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29264,NA,Alepocephalus bairdii,15147740,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-31228,NA,Alepocephalus rostratus,198626,Stable,LC,NA,NA,NA,am,0,0
Fis-23899,VU,Alopias vulpinus,39339,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-25577,LC,Alosa fallax,NA,NA,LC,NA,NA,NA,am,0,NA
Fis-131852,LC,Amblyraja hyperborea,63119,Unknown,LC,NA,NA,NA,am,0,NA
Fis-131855,LC,Amblyraja jenseni,161491,Unknown,LC,NA,NA,NA,am,0,NA
Fis-131853,VU,Amblyraja radiata,161542,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-29619,NA,Ammodytes dubius,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29267,NA,Ammodytes marinus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29269,NA,Ammodytes tobianus,18155960,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-29624,NA,Anarhichas denticulatus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29625,NA,Anarhichas lupus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29626,NA,Anarhichas minor,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22711,CR,Anguilla anguilla,60344,Decreasing,CR,NA,NA,NA,am,0.8,-0.5
Fis-24753,NA,Anisarchus medius,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23904,NA,Anoplogaster cornuta,18123960,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29641,NA,Anotopterus pharao,18123632,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23905,NA,Antimora rostrata,190385,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29275,NA,Aphanopus carbo,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22712,NA,Aphia minuta,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-33130,NA,Aphyonus gelatinosus,57453548,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23002,DD,Apristurus laurussonii,44216,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-156530,DD,Apristurus melanoasper,42700,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-23005,LC,Apristurus microps,44657,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23375,NA,Arctogadus glacialis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-136946,NA,Arctozenus risso,194997,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23914,NA,Argentina silus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29289,NA,Argentina sphyraena,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-34692,NA,Argyropelecus lychnus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-7929,NA,Argyropelecus olfersii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23017,NA,Argyrosomus regius,198706,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22714,NA,Arnoglossus laterna,198724,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30763,NA,Artediellus atlanticus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30764,NA,Artediellus scaber,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-24436,NA,Artediellus uncinatus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30771,NA,Aspidophoroides olrikii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-49668,NA,Asquamiceps hjorti,15147791,Unknown,LC,NA,NA,NA,am,0,NA
Fis-125182,NA,Astronesthes atlanticus,190373,Unknown,LC,NA,NA,NA,am,0,NA
Fis-34776,NA,Astronesthes gemmifer,18256447,Unknown,DD,NA,NA,NA,am,NA,NA
