group,species,n_cat
Mollusca,Todaropsis eblanae,LC
Mollusca,Toledonia limnaeoides,NE
Mollusca,Tonicella marmorea,LC
Mollusca,Tonicella rubra,LC
Mollusca,Torellia delicata,LC
Mollusca,Trichotropis borealis,LC
Mollusca,Trichotropis conicus,LC
Mollusca,Triopella incisa,LC
Mollusca,Tritonia griegi,LC
Mollusca,Tritonia hombergi,LC
Mollusca,Tritonia lineata,NE
Mollusca,Tritonia plebeia,LC
Mollusca,Trivia arctica,LC
Mollusca,Trophonopsis barvicensis,LC
Mollusca,Tropidomya abbreviata,LC
Mollusca,Troschelia berniciensis,LC
Mollusca,Turbonilla crenata,LC
Mollusca,Turbonilla rufa,NE
Mollusca,Turbonilla rufescens,LC
Mollusca,Turrisipho dalli,LC
Mollusca,Turrisipho fenestratus,LC
Mollusca,Turrisipho lachesis,LC
Mollusca,Turrisipho moebii,LC
Mollusca,Turritella communis,LC
Mollusca,Turritellopsis stimpsoni,LC
Mollusca,Typhlomangelia nivalis,LC
Mollusca,Velutina lanigera,LC
Mollusca,Velutina plicatilis,LC
Mollusca,Velutina schneideri,NE
Mollusca,Velutina undata,LC
Mollusca,Velutina velutina,LC
Mollusca,Venerupis aurea,LC
Mollusca,Venerupis corrugata,LC
Mollusca,Ventrosia ventrosa,LC
Mollusca,Volutomitra groenlandica,LC
Mollusca,Volutopsius norwegicus,LC
Mollusca,Wirenia argentea,NE
Mollusca,Xylodiscula planata,DD
Mollusca,Xylophaga dorsalis,LC
Mollusca,Xylophaga nidarosiensis,DD
Mollusca,Xylophaga noradi,DD
Mollusca,Xylophaga praestans,LC
Mollusca,Yoldia amygdalea,VU
Mollusca,Yoldia hyperborea,LC
Mollusca,Yoldiella frigida,LC
Mollusca,Yoldiella intermedia,LC
Mollusca,Yoldiella lenticula,LC
Mollusca,Yoldiella lucida,LC
Mollusca,Yoldiella philippiana,LC
Mollusca,Yoldiella propinqua,LC
Mollusca,Yoldiella pustulosa,NA
Mollusca,Zirfaea crispata,LC
Fishes,Salvelinus alpinus,LC
Fishes,Abramis brama,LC
Fishes,Acantholabrus palloni,LC
Fishes,Agonus cataphractus,LC
Fishes,Alopias vulpinus,NA
Fishes,Amblyraja hyperborea,LC
Fishes,Amblyraja radiata,LC
Fishes,Ammodytes marinus,LC
Fishes,Ammodytes tobianus,LC
Fishes,Anarhichas denticulatus,NT
Fishes,Anarhichas lupus,LC
Fishes,Anarhichas minor,LC
Fishes,Anguilla anguilla,VU
Fishes,Anisarchus medius,LC
Fishes,Aphanopus carbo,NA
Fishes,Aphia minuta,LC
Fishes,Arctogadus glacialis,LC
Fishes,Arctozenus risso,NE
Fishes,Argentina silus,LC
Fishes,Argentina sphyraena,LC
Fishes,Argyropelecus aculeatus,NA
Fishes,Argyropelecus hemigymnus,NA
Fishes,Argyropelecus olfersii,NA
Fishes,Argyrosomus regius,NA
Fishes,Arnoglossus laterna,LC
Fishes,Artediellus atlanticus,LC
Fishes,Aspidophoroides olrikii,NA
Fishes,Aspitrigla cuculus,NA
Fishes,Auxis rochei,NA
Fishes,Balistes capriscus,NA
Fishes,Bathyraja spinicauda,LC
Fishes,Belone belone,LC
Fishes,Benthodesmus simonyi,NA
Fishes,Benthosema glaciale,LC
Fishes,Beryx decadactylus,NA
Fishes,Boops boops,NA
Fishes,Boreogadus saida,NT
Fishes,Brama brama,NA
Fishes,Brosme brosme,LC
Fishes,Buenia jeffreysii,LC
Fishes,Buglossidium luteum,NA
Fishes,Callionymus lyra,LC
Fishes,Callionymus maculatus,LC
Fishes,Callionymus reticulatus,NE
Fishes,Capros aper,NA
Fishes,Careproctus derjugini,NE
Fishes,Careproctus dubius,NE
Fishes,Careproctus knipowitschi,NE
Fishes,Careproctus latiosus,NE
Fishes,Careproctus macrophthalmus,NE
Fishes,Careproctus micropus,NE
Fishes,Careproctus moskalevi,NE
Fishes,Careproctus ranula,NE
Fishes,Careproctus tapirus,NE
Fishes,Careproctus telescopus,NE
Fishes,Centrolabrus exoletus,LC
Fishes,Centrolophus niger,NA
Fishes,Centrophorus uyato,NA
Fishes,Cetorhinus maximus,EN
Fishes,Chauliodus sloani,NA
Fishes,Cheilopogon heterurus,NA
Fishes,Chelidonichthys lucerna,LC
Fishes,Chelon labrosus,NA
Fishes,Chimaera monstrosa,LC
Fishes,Chirolophis ascanii,LC
Fishes,Chlamydoselachus anguineus,NA
Fishes,Ciliata mustela,LC
Fishes,Ciliata septentrionalis,LC
Fishes,Clupea harengus,LC
Fishes,Clupea pallasii,NT
Fishes,Coelorinchus caelorinchus,NA
Fishes,Coelorinchus labiatus,NA
Fishes,Conger conger,NA
Fishes,Coryphaenoides rupestris,LC
Fishes,Cottunculus microps,LC
Fishes,Cryptopsaras couesii,NA
Fishes,Crystallogobius linearis,LC
Fishes,Ctenolabrus rupestris,LC
Fishes,Cyclopteropsis mcalpini,DD
Fishes,Cyclopterus lumpus,LC
Fishes,Cyclothone alba,NA
Fishes,Dalatias licha,NA
Fishes,Dasyatis pastinaca,NA
Fishes,Deania calcea,NA
Fishes,Diaphus rafinesquii,NA
Fishes,Diastobranchus capensis,NA
Fishes,Dicentrarchus labrax,LC
Fishes,Diplecogaster bimaculata,LC
Fishes,Dipturus batis,CR
Fishes,Dipturus nidarosiensis,DD
Fishes,Dipturus oxyrinchus,LC
Fishes,Echiodon drummondii,LC
Fishes,Enchelyopus cimbrius,LC
Fishes,Engraulis encrasicolus,NA
Fishes,Entelurus aequoreus,LC
Fishes,Epigonus telescopus,NA
Fishes,Etmopterus spinax,LC
Fishes,Eumicrotremus derjugini,LC
Fishes,Eumicrotremus spinosus,LC
Fishes,Euthynnus alletteratus,NA
Fishes,Eutrigla gurnardus,LC
Fishes,Gadiculus argenteus,LC
Fishes,Gadus chalcogrammus,DD
Fishes,Gadus morhua,LC
Fishes,Gaidropsarus argentatus,LC
Fishes,Gaidropsarus mediterraneus,LC
Fishes,Gaidropsarus vulgaris,LC
Fishes,Galeorhinus galeus,NA
Fishes,Galeus melastomus,LC
Fishes,Gasterosteus aculeatus,LC
Fishes,Glossanodon leioglossus,NA
Fishes,Glyptocephalus cynoglossus,LC
Fishes,Gobius niger,LC
Fishes,Gobiusculus flavescens,LC
Fishes,Gymnammodytes semisquamatus,DD
Fishes,Gymnelus andersoni,NE
Fishes,Gymnelus esipovi,NE
Fishes,Gymnelus hemifasciatus,NE
Fishes,Gymnelus retrodorsalis,LC
Fishes,Gymnelus taeniatus,NE
Fishes,Gymnocanthus tricuspis,LC
Fishes,Helicolenus dactylopterus,LC
Fishes,Heptranchias perlo,NA
Fishes,Hexanchus griseus,NA
Fishes,Hippoglossoides platessoides,LC
Fishes,Hippoglossus hippoglossus,LC
Fishes,Histrio histrio,NA
Fishes,Howella brodiei,NA
Fishes,Hyperoglyphe perciformis,NA
Fishes,Hyperoplus immaculatus,NA
Fishes,Hyperoplus lanceolatus,LC
Fishes,Icelus bicornis,LC
Fishes,Icelus spatula,NE
Fishes,Isurus oxyrinchus,NA
Fishes,Labrus bergylta,LC
Fishes,Labrus mixtus,LC
Fishes,Lamna nasus,VUß
Fishes,Lampanyctus macdonaldi,NA
Fishes,Lampetra fluviatilis,LC
Fishes,Lampris guttatus,NA
Fishes,Lebetus scorpioides,LC
Fishes,Lepidopus caudatus,NA
Fishes,Lepidorhombus boscii,NA
Fishes,Lepidorhombus whiffiagonis,LC
Fishes,Leptagonus decagonus,LC
Fishes,Leptoclinus maculatus,LC
Fishes,Lesueurigobius friesii,LC
Fishes,Lethenteron camtschaticum,NT
Fishes,Leuciscus idus,LC
Fishes,Leuciscus leuciscus,LC
Fishes,Leucoraja circularis,NA
Fishes,Leucoraja fullonica,DD
Fishes,Leucoraja naevus,NA
Fishes,Limanda limanda,LC
Fishes,Liparis bathyarcticus,LC
Fishes,Liparis fabricii,LC
Fishes,Liparis liparis,LC
Fishes,Liparis montagui,LC
Fishes,Liparis tunicatus,LC
Fishes,Lipophrys pholis,LC
Fishes,Liza aurata,NA
Fishes,Liza ramada,NA
Fishes,Lophius budegassa,NA
Fishes,Lophius piscatorius,LC
Fishes,Lumpenus fabricii,NA
Fishes,Lumpenus lampretaeformis,LC
Fishes,Luvarus imperialis,NA
Fishes,Lycenchelys kolthoffi,LC
Fishes,Lycenchelys muraena,LC
Fishes,Lycenchelys platyrhina,NE
Fishes,Lycenchelys sarsii,LC
Fishes,Lycodes adolfi,LC
Fishes,Lycodes esmarkii,LC
Fishes,Lycodes eudipleurostictus,LC
Fishes,Lycodes frigidus,LC
Fishes,Lycodes gracilis,LC
Fishes,Lycodes luetkenii,LC
Fishes,Lycodes paamiuti,LC
Fishes,Lycodes pallidus,LC
Fishes,Lycodes reticulatus,LC
Fishes,Lycodes rossi,LC
Fishes,Lycodes seminudus,LC
Fishes,Lycodes squamiventer,LC
Fishes,Lycodonus flagellicauda,LC
Fishes,Macroramphosus scolopax,NA
Fishes,Macrourus berglax,LC
Fishes,Malacocephalus laevis,NA
Fishes,Mallotus villosus,LC
Fishes,Maurolicus muelleri,LC
Fishes,Melanogrammus aeglefinus,LC
Fishes,Merlangius merlangus,LC
Fishes,Merluccius merluccius,LC
Fishes,Micrenophrys lilljeborgii,LC
Fishes,Micrenophrys lilljeborgii,LC
Fishes,Microstomus kitt,LC
Fishes,Mola mola,NA
Fishes,Molva dypterygia,EN
Fishes,Molva molva,LC
Fishes,Mora moro,NA
Fishes,Mullus surmuletus,NA
Fishes,Mustelus asterias,NA
Fishes,Myctophum punctatum,NA
Fishes,Myliobatis aquila,NA
Fishes,Myoxocephalus scorpius,LC
Fishes,Myxine glutinosa,LC
Fishes,Nansenia groenlandica,NA
Fishes,Naucrates ductor,NA
Fishes,Nemichthys scolopaceus,NA
Fishes,Nerophis lumbriciformis,LC
Fishes,Nerophis ophidion,LC
Fishes,Nesiarchus nasutus,NA
Fishes,Notacanthus chemnitzii,NA
Fishes,Notoscopelus kroyeri,NA
Fishes,Oncorhynchus mykiss,NA
Fishes,Orcynopsis unicolor,NA
Fishes,Oxynotus paradoxus,NA
Fishes,Pagellus bogaraveo,NA
Fishes,Paralepis coregonoides,NA
Fishes,Paraliparis bathybius,LC
Fishes,Petromyzon marinus,NT
Fishes,Pholis gunnellus,LC
Fishes,Phrynorhombus norvegicus,LC
Fishes,Phycis blennoides,LC
Fishes,Platichthys flesus,LC
Fishes,Pleuronectes platessa,LC
Fishes,Pollachius pollachius,LC
Fishes,Pollachius virens,LC
Fishes,Polyprion americanus,NA
Fishes,Pomatoschistus microps,LC
Fishes,Pomatoschistus minutus,LC
Fishes,Pomatoschistus norvegicus,LC
Fishes,Pomatoschistus pictus,LC
Fishes,Prionace glauca,NA
Fishes,Protomyctophum arcticum,NA
Fishes,Psychrolutes subspinosus,NE
Fishes,Pterycombus brama,NA
Fishes,Pungitius pungitius,LC
Fishes,Raja clavata,LC
Fishes,Raja montagui,NA
Fishes,Rajella fyllae,LC
Fishes,Rajella lintea,LC
Fishes,Raniceps raninus,LC
Fishes,Regalecus glesne,NA
Fishes,Reinhardtius hippoglossoides,LC
Fishes,Remora remora,NA
Fishes,Rhodichthys melanocephalus,NE
Fishes,Rhodichthys regina,LC
Fishes,Salmo salar,LC
Fishes,Salmo trutta,LC
Fishes,Salvelinus alpinus,LC
Fishes,Sarda sarda,NA
Fishes,Sardina pilchardus,NA
Fishes,Scardinius erythrophthalmus,LC
Fishes,Schedophilus medusophagus,NA
Fishes,Scomber scombrus,LC
Fishes,Scomberesox saurus,NA
Fishes,Scophthalmus maximus,LC
Fishes,Scophthalmus rhombus,LC
Fishes,Scyliorhinus canicula,LC
Fishes,Scyliorhinus stellaris,NA
Fishes,Sebastes mentella,LC
Fishes,Sebastes norvegicus,EN
Fishes,Sebastes viviparus,LC
Fishes,Solea solea,LC
Fishes,Somniosus microcephalus,DD
Fishes,Sphyraena sphyraena,NA
Fishes,Spinachia spinachia,LC
Fishes,Spondyliosoma cantharus,NA
Fishes,Sprattus sprattus,NT
Fishes,Squalus acanthias,EN
Fishes,Squatina squatina,NA
Fishes,Stomias boa,NA
Fishes,Symphodus melops,LC
Fishes,Syngnathus acus,LC
Fishes,Syngnathus rostellatus,LC
Fishes,Syngnathus typhle,LC
Fishes,Taractes asper,NA
Fishes,Taurulus bubalis,LC
Fishes,Thorogobius ephippiatus,LC
Fishes,Thunnus thynnus,NA
Fishes,Torpedo marmorata,NA
Fishes,Trachinotus ovatus,NA
Fishes,Trachinus draco,LC
Fishes,Trachipterus arcticus,NA
Fishes,Trachurus trachurus,LC
Fishes,Trachyrincus murrayi,NA
Fishes,Trichiurus lepturus,NA
Fishes,Trigla lyra,NA
Fishes,Trigloporus lastoviza,NA
Fishes,Triglops murrayi,LC
Fishes,Triglops nybelini,LC
Fishes,Triglops pingelii,LC
Fishes,Trisopterus esmarkii,LC
Fishes,Trisopterus luscus,NA
Fishes,Trisopterus minutus,LC
Fishes,Xiphias gladius,NA
Fishes,Zeugopterus punctatus,LC
Fishes,Zeus faber,NA
Fishes,Zoarces viviparus,LC
Aves,Alca torda,EN
Aves,Clangula hyemalis,NT
Aves,Larus hyperboreus,NT
Aves,Pagophila eburnea,VU
Aves,Rissa tridactyla,NT
Aves,Somateria spectabilis,NT
Aves,Uria aalge,VU
Aves,Uria lomvia,NT
Aves,Xema sabini,VUß
Aves,Alca torda,EN
Aves,Cepphus grylle,VU
Aves,Fratercula arctica,VU
Aves,Fulmarus glacialis,EN
Aves,Gavia adamsii,NT
Aves,Haliaeetus albicilla,LC
Aves,Hydrobates pelagicus,LC
Aves,Larus canus,NT
Aves,Oceanodroma leucorhoa,NTß
Aves,Polysticta stelleri,VU
Aves,Rissa tridactyla,EN
Aves,Somateria mollissima,NT
Aves,Stercorarius parasiticus,NT
Aves,Stercorarius skua,LCß
Aves,Sterna hirundo,EN
Aves,Sterna paradisaea,LC
Aves,Uria aalge,CR
Aves,Uria lomvia,EN
Vascular plants,Eleocharis parvula,VU
Vascular plants,Najas marina,EN
Vascular plants,Ruppia cirrhosa,LC
Vascular plants,Ruppia maritima,LC
Vascular plants,Sagittaria sagittifolia,LC
Vascular plants,Stuckenia pectinata,LC
Vascular plants,Zostera angustifolia,LC
Vascular plants,Zostera marina,LC
Vascular plants,Zostera noltii,EN
Crustacea,Abludomelita obtusata,LC
Crustacea,Acanthonotozoma cristatum,LC
Crustacea,Acanthonotozoma dunbari,NA
Crustacea,Acanthonotozoma inflatum,NA
Crustacea,Acanthonotozoma magnum,NA
Crustacea,Acanthonotozoma monodentatum,NA
Crustacea,Acanthonotozoma rusanovae,DD
Crustacea,Acanthonotozoma serratum,LC
Crustacea,Acanthonotozoma sinuatum,LC
Crustacea,Acanthostepheia beringiensis,NA
Crustacea,Acanthostepheia malmgreni,NA
Crustacea,Acartia bifilosa,LC
Crustacea,Acartia clausi,LC
Crustacea,Acartia discaudata,LC
Crustacea,Acartia longiremis,LC
Crustacea,Acartia teclae,DD
Crustacea,Acartia tonsa,NA
Crustacea,Aceroides goesi,NA
Crustacea,Aceroides latipes,LC
Crustacea,Acidostoma nodiferum,LC
Crustacea,Acidostoma obesum,LC
Crustacea,Aega arctica,NA
Crustacea,Aega crenulata,LC
Crustacea,Aega monophthalma,LC
Crustacea,Aega psora,LC
Crustacea,Aega stroemi,LC
Crustacea,Aega tridens,LC
Crustacea,Aega ventrosa,LC
Crustacea,Aeginella spinosa,LC
Crustacea,Aeginina longicornis,LC
Crustacea,Allomelita pellucida,NT
Crustacea,Amathillopsis spinigera,LC
Crustacea,Ambasia atlantica,LC
Crustacea,Ambasiella murmanica,DD
Crustacea,Amblyops abbreviata,LC
Crustacea,Amblyopsoides ohlini,LC
Crustacea,Amigdoscalpellum hispidum,LC
Crustacea,Ampelisca aequicornis,LC
Crustacea,Ampelisca amblyops,LC
Crustacea,Ampelisca anomala,LC
Crustacea,Ampelisca brevicornis,LC
Crustacea,Ampelisca diadema,LC
Crustacea,Ampelisca eschrichtii,LC
Crustacea,Ampelisca gibba,LC
Crustacea,Ampelisca macrocephala,LC
Crustacea,Ampelisca odontoplax,LC
Crustacea,Ampelisca pusilla,LC
Crustacea,Ampelisca spinifer,NA
Crustacea,Ampelisca spinipes,LC
Crustacea,Ampelisca spooneri,NA
Crustacea,Ampelisca tenuicornis,LC
Crustacea,Ampelisca toulemonti,NA
Crustacea,Ampelisca typica,LC
Crustacea,Amphibalanus improvisus,NA
Crustacea,Amphilochoides boecki,LC
Crustacea,Amphilochoides serratipes,LC
Crustacea,Amphilochopsis hamatus,LC
Crustacea,Amphilochus manudens,LC
Crustacea,Amphilochus nov. sp.,LC
Crustacea,Amphilochus tenuimanus,LC
Crustacea,Amphithopsis longicaudata,LC
Crustacea,Ampithoe gammaroides,LC
Crustacea,Ampithoe rubricata,LC
Crustacea,Anapagurus chiroacanthus,LC
Crustacea,Anapagurus laevis,LC
Crustacea,Andaniexis abyssi,LC
Crustacea,Andaniexis lupus,LC
Crustacea,Andaniopsis nordlandica,LC
Crustacea,Andaniopsis pectinata,LC
Crustacea,Androniscus dentiger,NA
Crustacea,Anelasma squalicola,LC
Crustacea,Anomalocera patersoni,LC
Crustacea,Anonyx affinis,NA
Crustacea,Anonyx bispinosus,NA
Crustacea,Anonyx debruyni,LC
Crustacea,Anonyx laticoxae,NA
Crustacea,Anonyx lilljeborgi,LC
Crustacea,Anonyx nugax,LC
Crustacea,Anonyx sarsi,LC
Crustacea,Aora gracilis,LC
Crustacea,Apherusa bispinosa,LC
Crustacea,Apherusa cirrus,LC
Crustacea,Apherusa clevei,LC
Crustacea,Apherusa corbeli,NA
Crustacea,Apherusa glacialis,NA
Crustacea,Apherusa jurinei,LC
Crustacea,Apherusa macrocephala,LC
Crustacea,Apherusa ovalipes,LC
Crustacea,Apherusa sarsii,DD
Crustacea,Apherusa tridentata,LC
Crustacea,Apocorophium lacustre,NA
Crustacea,Apohyale nilssoni,LC
Crustacea,Apolochus borealis,DD
Crustacea,Arctolembos arcticus,NA
Crustacea,Arcturus baffini,LC
Crustacea,Argissa hamatipes,LC
Crustacea,Aristias megalops,LC
Crustacea,Aristias microps,LC
Crustacea,Aristias neglectus,LC
Crustacea,Aristias tumidus,LC
Crustacea,Armadillidium nasatum,NA
Crustacea,Armadillidium opacum,VU
Crustacea,Armadillidium pictum,LC
Crustacea,Armadillidium pulchellum,LC
Crustacea,Armadillidium vulgare,NT
Crustacea,Arrhinopsis longicornis,NA
Crustacea,Arrhis phyllonyx,LC
Crustacea,Asconiscus simplex,LC
Crustacea,Ascothorax ophioctensis,NA
Crustacea,Asellus aquaticus,LC
Crustacea,Aspidarachna clypeata,LC
Crustacea,Aspidophryxus peltatus,LC
Crustacea,Astacilla arietina,DD
Crustacea,Astacilla dilatata,LC
Crustacea,Astacilla granulata,DD
Crustacea,Astacilla intermedia,LC
Crustacea,Astacilla longicornis,LC
Crustacea,Astacilla pusilla,LC
Crustacea,Astacus astacus,EN
Crustacea,Astyra abyssi,LC
Crustacea,Atelecyclus rotundatus,LC
Crustacea,Athanas nitescens,LC
Crustacea,Athelges bilobus,NA
Crustacea,Athelges paguri,LC
Crustacea,Athelges tenuicaudis,DD
Crustacea,Atlantopandalus propinqvus,LC
Crustacea,Atylus carinatus,NA
Crustacea,Austroniscus norbi,LC
Crustacea,Autonoe borealis,NA
Crustacea,Autonoe longipes,LC
Crustacea,Autonoe megacheir,LC
Crustacea,Baeonectes muticus,LC
Crustacea,Balanus balanus,LC
Crustacea,Balanus crenatus,LC
Crustacea,Bathymedon longimanus,LC
Crustacea,Bathymedon obtusifrons,LC
Crustacea,Bathymedon saussurei,LC
Crustacea,Bathynectes maravigna,DD
Crustacea,Bathyporeia elegans,LC
Crustacea,Bathyporeia gracilis,LC
Crustacea,Bathyporeia guillamsoniana,LC
Crustacea,Bathyporeia pelagica,LC
Crustacea,Bathyporeia pilosa,NA
Crustacea,Bathyporeia sarsi,NA
Crustacea,Bodotria arenosa,LC
Crustacea,Bodotria pulchella,DD
Crustacea,Bodotria scorpioides,LC
Crustacea,Bopyroides cluthae,NA
Crustacea,Bopyroides hippolytes,LC
Crustacea,Boreomysis arctica,LC
Crustacea,Boreomysis megalops,LC
Crustacea,Boreomysis microps,LC
Crustacea,Boreomysis nobilis,LC
Crustacea,Boreomysis scyphops,LC
Crustacea,Boreomysis tridens,LC
Crustacea,Brachydiastylis resima,LC
Crustacea,Bruzelia tuberculata,LC
Crustacea,Bruzelia typica,LC
Crustacea,Byblis abyssi,LC
Crustacea,Byblis affinis,LC
Crustacea,Byblis crassicornis,LC
Crustacea,Byblis erythrops,LC
Crustacea,Byblis gaimardi,LC
Crustacea,Byblis longicornis,LC
Crustacea,Byblis minuticornis,LC
Crustacea,Bythocaris grumanti,NA
Crustacea,Bythocaris leucopis,LC
Crustacea,Bythocaris payeri,LC
Crustacea,Bythocaris simplicirostris,LC
Crustacea,Caecognathia abyssorum,LC
Crustacea,Caecognathia bicolor,LC
Crustacea,Caecognathia elongata,LC
Crustacea,Caecognathia hirsuta,LC
Crustacea,Caecognathia stygia,LC
Crustacea,Caeconyx caeculus,LC
Crustacea,Calanus finmarchicus,LC
Crustacea,Calanus glacialis,LC
Crustacea,Calanus helgolandicus,LC
Crustacea,Calanus hyperboreus,LC
Crustacea,Calathura brachiata,LC
Crustacea,Callianassa subterranea,LC
Crustacea,Calliopius laeviusculus,LC
Crustacea,Calliopius rathkei,NE
Crustacea,Calocarides coronatus,LC
Crustacea,Calocaris macandreae,LC
Crustacea,Campylaspis affinis,LC
Crustacea,Campylaspis costata,LC
Crustacea,Campylaspis glabra,LC
Crustacea,Campylaspis globosa,LC
Crustacea,Campylaspis horrida,LC
Crustacea,Campylaspis intermedia,LC
Crustacea,Campylaspis macrophthalma,DD
Crustacea,Campylaspis rubicunda,LC
Crustacea,Campylaspis sulcata,LC
Crustacea,Campylaspis undata,LC
Crustacea,Campylaspis verrucosa,LC
Crustacea,Cancer bellianus,NA
Crustacea,Cancer pagurus,LC
Crustacea,Candacia armata,LC
Crustacea,Candacia norvegica,LC
Crustacea,Caprella acanthifera,LC
Crustacea,Caprella ciliata,NE
Crustacea,Caprella dubia,NA
Crustacea,Caprella equilibra,NA
Crustacea,Caprella linearis,LC
Crustacea,Caprella microtuberculata,NE
Crustacea,Caprella monocera,NE
Crustacea,Caprella mutica,NA
Crustacea,Caprella punctata,LC
Crustacea,Caprella septentrionalis,LC
Crustacea,Carcinus maenas,LC
Crustacea,Caridion gordoni,LC
Crustacea,Caridion steveni,NA
Crustacea,Centromedon calcaratus,LC
Crustacea,Centromedon productus,NA
Crustacea,Centromedon pumilus,LC
Crustacea,Centromedon typhlops,NA
Crustacea,Centropages hamatus,LC
Crustacea,Centropages typicus,LC
Crustacea,Cerapus crassicornis,NA
Crustacea,Chaecon affinis,NA
Crustacea,Cheirocratus assimilis,LC
Crustacea,Cheirocratus intermedius,LC
Crustacea,Cheirocratus robustus,LC
Crustacea,Cheirocratus sundevallii,LC
Crustacea,Chelura terebrans,DD
Crustacea,Chionoecetes opilio,NA
Crustacea,Chirona hammeri,LC
Crustacea,Chthamalus stellatus,NA
Crustacea,Cironiscus dahli,LC
Crustacea,Cleippides quadricuspis,LC
Crustacea,Cleonardo appendiculata,DD
Crustacea,Clistosaccus paguri,LC
Crustacea,Clypeoniscus hanseni,DD
Crustacea,Conchoderma auritum,NA
Crustacea,Conchoderma virgatum,NA
Crustacea,Cordioniscus stebbingi,NA
Crustacea,Coronula diadema,NA
Crustacea,Corophium volutator,LC
Crustacea,Corystes cassivelaunus,DD
Crustacea,Coximedon latimanus,LC
Crustacea,Crangon allmanni,LC
Crustacea,Crangon crangon,LC
Crustacea,Crassicorophium bonnellii,LC
Crustacea,Crassicorophium crassicorne,LC
Crustacea,Cressa abyssicola,NE
Crustacea,Cressa dubia,LC
Crustacea,Cressa jeanjusti,LC
Crustacea,Cressa minuta,LC
Crustacea,Cryptocheles pygmaea,LC
Crustacea,Cumella pygmaea,LC
Crustacea,Cyamus boopis,LC
Crustacea,Cyathura carinata,NA
Crustacea,Cyclaspis longicaudata,LC
Crustacea,Cyclocaris guilelmi,LC
Crustacea,Cylisticus convexus,LC
Crustacea,Cyphocaris anonyx,LC
Crustacea,Cyphocaris bouvieri,NA
Crustacea,Cyphosaccus norvegicus,LC
Crustacea,Cyproniscus cypridinae,LC
Crustacea,Dactylamblyops sarsi,NA
Crustacea,Dajus mysidis,LC
Crustacea,Deflexilodes intermedius,NA
Crustacea,Deflexilodes norvegicus,LC
Crustacea,Deflexilodes subnudus,LC
Crustacea,Deflexilodes tenuirostratus,LC
Crustacea,Deflexilodes tesselatus,LC
Crustacea,Deflexilodes tuberculatus,LC
Crustacea,Dendrotion spinosum,LC
Crustacea,Desmosoma lineare,LC
Crustacea,Desmosoma strombergi,LC
Crustacea,Dexamine spinosa,LC
Crustacea,Dexamine thea,LC
Crustacea,Diastylis boecki,LC
Crustacea,Diastylis bradyi,LC
Crustacea,Diastylis cornuta,LC
Crustacea,Diastylis echinata,LC
Crustacea,Diastylis edwardsii,NA
Crustacea,Diastylis glabra,NA
Crustacea,Diastylis goodsiri,LC
Crustacea,Diastylis laevis,LC
Crustacea,Diastylis lepechini,LC
Crustacea,Diastylis lucifera,LC
Crustacea,Diastylis oxyrhyncha,NA
Crustacea,Diastylis polaris,LC
Crustacea,Diastylis rathkei,LC
Crustacea,Diastylis rugosa,LC
Crustacea,Diastylis scorpioides,LC
Crustacea,Diastylis spinulosa,LC
Crustacea,Diastylis stygia,LC
Crustacea,Diastylis tumida,LC
Crustacea,Diastyloides biplicata,LC
Crustacea,Diastyloides serrata,LC
Crustacea,Dichelopandalus bonnieri,LC
Crustacea,Disconectes furcatus,LC
Crustacea,Disconectes phalangium,LC
Crustacea,Dorhynchus thomsoni,LC
Crustacea,Drepanorchis neglecta,LC
Crustacea,Dulichia falcata,LC
Crustacea,Dulichia spinosissima,LC
Crustacea,Dulichia tuberculata,LC
Crustacea,Dulichiopsis nordlandica,LC
Crustacea,Dyopedos hirticornis,NA
Crustacea,Dyopedos knipowitschi,NA
Crustacea,Dyopedos monacantha,LC
Crustacea,Dyopedos normani,DD
Crustacea,Dyopedos porrectus,LC
Crustacea,Ebalia cranchii,LC
Crustacea,Ebalia nux,NA
Crustacea,Ebalia tuberosa,LC
Crustacea,Ebalia tumefacta,LC
Crustacea,Echinopleura aculeata,LC
Crustacea,Echinozone arctica,LC
Crustacea,Echinozone coronata,LC
Crustacea,Elasmopus rapax,DD
Crustacea,Epimeria cornigera,LC
Crustacea,Epimeria loricata,LC
Crustacea,Epimeria parasitica,LC
Crustacea,Epimeria tuberculata,LC
Crustacea,Ericthonius difformis,LC
Crustacea,Ericthonius megalops,LC
Crustacea,Ericthonius punctatus,LC
Crustacea,Ericthonius rubricornis,NA
Crustacea,Eriocheir sinensis,NA
Crustacea,Eriopisa elongata,LC
Crustacea,Erythrops abyssorum,LC
Crustacea,Erythrops elegans,LC
Crustacea,Erythrops erythrophthalma,LC
Crustacea,Erythrops glacialis,LC
Crustacea,Erythrops microps,LC
Crustacea,Erythrops serrata,LC
Crustacea,Eualus belcheri,NA
Crustacea,Eualus cranchii,LC
Crustacea,Eualus gaimardii,LC
Crustacea,Eualus occultus,LC
Crustacea,Eualus pusiolus,LC
Crustacea,Eucopia unguiculata,NA
Crustacea,Eudorella arctica,DD
Crustacea,Eudorella emarginata,LC
Crustacea,Eudorella hirsuta,LC
Crustacea,Eudorella spitzbergensis,NA
Crustacea,Eudorella truncatula,LC
Crustacea,Eudorellopsis deformis,LC
Crustacea,Eugerda arctica,LC
Crustacea,Eugerda filipes,LC
Crustacea,Eugerda intermedia,DD
Crustacea,Eugerda reticulata,LC
