species,pop_cat
Dalatias licha,NT
Deania calcea,LC
Echinorhinus brucus,DD
Etmopterus spinax,LC
Galeocerdo cuvier,NT
Galeus murinus,LC
Hexanchus griseus,NT
Lampanyctus crocodilus,LC
Lebetus scorpioides,LC
Lepidopus caudatus,DD
Maurolicus muelleri,NA
Naucrates ductor,LC
Oxynotus centrina,VU
Pagellus bogaraveo,NT
Prionace glauca,NT
Reinhardtius hippoglossoides,NA
Scophthalmus rhombus,NA
Scyliorhinus canicula,LC
Scyliorhinus stellaris,NT
Solea solea,DD
Squatina squatina,CR
Trisopterus minutus,LC
Zoarces viviparus,NA
Arctogadus glacialis,NA
Ciliata mustela,LC
Ciliata septentrionalis,LC
Cubiceps gracilis,LC
Cyclothone microdon,LC
Diaphus rafinesquii,LC
Enchelyopus cimbrius,LC
Gaidropsarus macrophthalmus,LC
Gaidropsarus mediterraneus,NA
Gaidropsarus vulgaris,LC
Hippoglossus hippoglossus,EN
Hyperoplus lanceolatus,LC
Lampris guttatus,LC
Liparis liparis,LC
Liparis montagui,LC
Liza aurata,LC
Melanogrammus aeglefinus,VU
Microstomus kitt,NA
Mola mola,VU
Molva dypterygia,LC
Mora moro,LC
Myoxocephalus scorpius,NA
Nansenia groenlandica,NA
Nerophis ophidion,LC
Phycis blennoides,NA
Platichthys flesus,LC
Pollachius virens,NA
Pomatoschistus microps,LC
Pomatoschistus minutus,LC
Pomatoschistus norvegicus,LC
Pomatoschistus pictus,LC
Raniceps raninus,LC
Ranzania laevis,LC
Sardina pilchardus,LC
Spinachia spinachia,LC
Spondyliosoma cantharus,LC
Sprattus sprattus,NA
Stomias boa boa,NA
Taurulus bubalis,LC
Trachinotus ovatus,LC
Trachurus trachurus,VU
Trisopterus esmarkii,LC
Trisopterus luscus,NA
Zeugopterus punctatus,NA
Zu cristatus,LC
Alopias vulpinus,VU
Anoplogaster cornuta,LC
Antimora rostrata,LC
Argentina silus,NA
Chelon labrosus,LC
Epigonus telescopus,LC
Lepidion eques,DD
Phrynorhombus norvegicus,LC
Acantholumpenus mackayi,NA
Leptagonus decagonus,NA
Artediellus uncinatus,NA
Enophrys diceraus,NA
Eumesogrammus praecisus,NA
Eumicrotremus spinosus,NA
Gymnocanthus tricuspis,NA
Hippoglossoides platessoides,NA
Icelus bicornis,NA
Liopsetta glacialis,LC
Lumpenus fabricii,NA
Anisarchus medius,NA
Lycodes polaris,NA
Megalocottus platycephalus,NA
Hemilepidotus papilio,LC
Stephanolepis hispidus,LC
Myoxocephalus quadricornis,LC
Myoxocephalus scorpioides,NA
Pholis gunnellus,NA
Pungitius pungitius,LC
Remora brachyptera,LC
Scartella cristata,LC
Trachipterus arcticus,NA
Lampetra fluviatilis,LC
Hygophum reinhardtii,LC
Galeorhinus galeus,VU
Citharus linguatula,LC
Malacocephalus laevis,LC
Nezumia aequalis,LC
Polymetme corythaeola,NA
Xenodermichthys copei,LC
Borostomias antarcticus,LC
Poromitra crassiceps,LC
Coryphaenoides armatus,LC
Alosa fallax,LC
Polyacanthonotus challengeri,LC
Histiobranchus bathybius,DD
Rouleina attrita,LC
Aldrovandia affinis,LC
Trachonurus villosus,NA
Nerophis lumbriciformis,LC
Acantholabrus palloni,LC
Lesueurigobius friesii,LC
Coryphaenoides guentheri,LC
Gaidropsarus argentatus,NA
Benthodesmus simonyi,NA
Lamprogrammus brunswigi,LC
Benthocometes robustus,LC
Penopus microphthalmus,LC
Cataetyx bruuni,LC
Hydrolagus mirabilis,NT
Aldrovandia phalacra,LC
Gymnothorax maderensis,LC
Diretmoides pauciradiatus,LC
Scopelogadus beanii,DD
Venefica proboscidea,LC
Nessorhamphus ingolfianus,LC
Dysomma brevirostre,LC
Saccopharynx ampullaceus,LC
Scopelosaurus lepidus,LC
Symphodus bailloni,LC
Lipophrys pholis,LC
Bajacalifornia megalops,LC
Herwigia kreffti,LC
Barbantus curvifrons,LC
Holtbyrnia innesi,LC
Sagamichthys schnakenbecki,LC
Valenciennellus tripunctulatus,LC
Rhadinesthes decimus,LC
Alepisaurus ferox,LC
Alepocephalus bairdii,DD
Ammodytes marinus,NA
Ammodytes tobianus,DD
Aphanopus carbo,NA
Argentina sphyraena,NA
Callionymus lyra,LC
Centroscymnus coelolepis,NT
Chlamydoselachus anguineus,NT
Clupea harengus,LC
Coryphaenoides rupestris,CR
Cyclopterus lumpus,NA
Etmopterus princeps,DD
Gadus morhua,VU
Gadus ogac,NA
Galeus melastomus,LC
Hoplostethus atlanticus,NA
Labrus bergylta,LC
Lophius piscatorius,LC
Macrourus berglax,NA
Mugil cephalus,LC
Salmo salar,LC
Scomber scombrus,LC
Sebastes mentella,LC
Squalus acanthias,VU
Xiphias gladius,LC
Acipenser sturio,CR
Alepisaurus brevirostris,LC
Ammodytes dubius,NA
Anarhichas denticulatus,NA
Anarhichas lupus,NA
Anarhichas minor,NA
Anotopterus pharao,LC
Beryx decadactylus,LC
Callionymus maculatus,LC
Chauliodus sloani,LC
Chimaera monstrosa,NT
Coregonus sardinella,LC
Cryptopsaras couesii,LC
Cyclothone braueri,LC
Epigonus denticulatus,LC
Euleptorhamphus velox,LC
Gadiculus argenteus,NA
Gasterosteus aculeatus,LC
Halargyreus johnsonii,NA
Himantolophus groenlandicus,LC
Lycodes jugoricus,LC
Lycodes palearis,NA
Lycodes pallidus,NA
Lycodes reticulatus,NA
Lycodes rossi,NA
Lycodes sagittarius,NA
Lycodes turneri,NA
Melanostigma atlanticum,LC
Mullus surmuletus,LC
Myctophum punctatum,LC
Myxine glutinosa,LC
Notacanthus chemnitzii,LC
Paralepis coregonoides,NA
Petromyzon marinus,LC
Pleuronectes platessa,LC
Pseudotriakis microdon,LC
Pterycombus brama,LC
Raja clavata,NT
Regalecus glesne,LC
Schedophilus medusophagus,NA
Sebastes fasciatus,EN
Sebastes viviparus,NA
Syngnathus acus,LC
Syngnathus rostellatus,LC
Syngnathus typhle,LC
Taractes asper,NA
Tetragonurus cuvieri,LC
Trachinus draco,LC
Uroconger syringinus,LC
Zeus faber,DD
Artediellus atlanticus,NA
Artediellus scaber,NA
Aspidophoroides olrikii,NA
Eumicrotremus derjugini,NA
Hippoglossoides robustus,NA
Icelus spatula,NA
Liparis gibbus,NA
Liparis tunicatus,NA
Triglops murrayi,NA
Triglops nybelini,NA
Rondeletia loricata,LC
Barbourisia rufa,LC
Raja montagui,LC
Eurypharynx pelecanoides,LC
Ceratias holboelli,LC
Dibranchus atlanticus,LC
Diretmus argenteus,LC
Hoplostethus mediterraneus,LC
Trachinus radiatus,LC
Harriotta raleighana,LC
Alepocephalus rostratus,LC
Searsia koefoedi,LC
Ectreposebastes imus,LC
Cyclothone acclinidens,LC
Mustelus asterias,LC
Scophthalmus maximus,NA
Labrus mixtus,LC
Cyclothone pallida,LC
Cyclothone pseudopallida,LC
Trigonolampa miriceps,LC
Lampanyctus intricarius,LC
Derichthys serpentinus,LC
Nesiarchus nasutus,LC
Bathygadus favosus,LC
Myxine ios,LC
Brotulotaenia crassa,NA
Chelidonichthys lucerna,LC
Lamprogrammus niger,LC
Luciobrotula corethromycter,LC
Xyelacyba myersi,NA
Thalassobathia pelagica,LC
Rhinochimaera atlantica,LC
Aphyonus gelatinosus,LC
Halosaurus guentheri,LC
Cetomimus gillii,DD
Cetomimus hempeli,DD
Melamphaes longivelis,DD
Synaphobranchus kaupii,LC
Cyema atrum,LC
Luciosudis normani,LC
Alepocephalus agassizii,LC
Cottunculus microps,NA
Asquamiceps velaris,NA
Maulisia mauli,LC
Malacosteus niger,LC
Polyipnus polli,LC
Odontomacrurus murrayi,LC
Diceratias pileatus,LC
Cataetyx laticeps,LC
Gadiculus thori,NA
Photostylus pycnopterus,LC
Holtbyrnia anomala,LC
Holtbyrnia macrops,LC
Platytroctes apus,LC
Argyropelecus lychnus,NA
Astronesthes gemmifer,DD
Eustomias dendriticus,NA
Melanostomias niger,NA
Howella brodiei,LC
Bathylagus euryops,NA
Bathysaurus ferox,LC
Lycodes squamiventer,NA
Lycodes frigidus,NA
Lycenchelys kolthoffi,NA
Lycenchelys muraena,NA
Cottunculus sadko,NA
Liparis fabricii,NA
Careproctus micropus,NA
Paraliparis bathybius,NA
Paraliparis hystrix,DD
Magnisudis atlantica,LC
Cottunculus thomsonii,LC
Gymnelus retrodorsalis,NA
Lycenchelys sarsii,NA
Lumpenus lampretaeformis,NA
Lycodes vahlii,NA
Careproctus reinhardti,NA
Polyacanthonotus rissoanus,NA
Lampanyctus photonotus,LC
Coregonus autumnalis,LC
Macrouroides inflaticeps,LC
Hygophum taaningi,LC
Leptoclinus maculatus,NA
Lophodolos acanthognathus,LC
Lycodonus flagellicauda,NA
Parablennius ruber,LC
Thunnus thynnus,VU
Asquamiceps hjorti,LC
Bajacalifornia calcarata,LC
Mentodus rostratus,LC
Mentodus facilis,LC
Neonesthes microcephalus,LC
Macroparalepis affinis,LC
Odontostomops normalops,LC
Benthalbella infans,LC
Scopelarchus analis,LC
Diaphus diadematus,LC
Lampadena pontifex,LC
Lampadena speculigera,LC
Parabrotula plagiophthalma,LC
Porogadus miles,LC
Melamphaes simus,LC
Poromitra megalops,DD
Scopeloberyx opisthopterus,LC
Caulophryne polynema,LC
Himantolophus albinares,DD
Danaphryne nigrifilis,NA
Dolopichthys danae,LC
Dolopichthys longicornis,LC
Kali macrodon,LC
Dolopichthys pullatus,DD
Lophodolos indicus,LC
Kali macrura,LC
Microlophichthys microlophus,LC
Oneirodes anisacanthus,DD
Oneirodes carlsbergi,LC
Oneirodes eschrichtii,LC
Oneirodes macrosteus,LC
Oneirodes myrionemus,DD
Spiniphryne gladisfenae,LC
Ceratias uranoscopus,LC
Gigantactis longicirra,LC
Gigantactis vanhoeffeni,DD
Rhynchactis leptonema,NA
Haplophryne mollis,LC
Linophryne coronata,NA
Linophryne pennibarbata,LC
Squalogadus modificatus,LC
Coryphaenoides carapinus,NA
Cetonurus globiceps,LC
Melamphaes polylepis,DD
Osmerus dentex,LC
Cyclothone alba,LC
Coregonus lavaretus,VU
Lepidion schmidti,NA
Hymenogadus gracilis,DD
Caulophryne jordani,LC
Lophotus capellei,NA
Cyttopsis rosea,LC
Malacoraja spinacidermis,LC
Trigloporus lastoviza,LC
Lycodes eudipleurostictus,NA
Lycodes seminudus,NA
Lycodes esmarkii,NA
Scomberesox saurus,LC
Isurus oxyrinchus,VU
Sparus aurata,LC
Zameus squamulosus,DD
Bassozetus compressus,LC
Lycodes mucosus,NA
Ebinania costaecanariae,LC
Echiodon drummondii,NA
Lycodes gracilis,NA
Micrenophrys lilljeborgii,LC
Triglops pingelii,NA
Hydrolagus pallidus,LC
Coryphaenoides brevibarbis,NA
Trachyrincus murrayi,NA
Bythites islandicus,DD
Linophryne algibarbata,NA
Psychrolutes subspinosus,NA
Rhodichthys regina,NA
Protomyctophum arcticum,NA
Neocyttus helgae,NA
Lethenteron camtschaticum,LC
Dicrolene introniger,LC
Argyropelecus olfersii,NA
Anthopleura thallia,NA
Protanthea simplex,NA
Alicia mirabilis,NA
Edwardsia claparedii,NA
Diadumene cincta,NA
Cereus pedunculatus,NA
Actinia equina,NA
Sagartiogeton undatus,NA
Actinauge richardi,NA
Sagartia elegans,NA
Metridium senile,NA
Aiptasia mutabilis,NA
Sagartia troglodytes,NA
Loxosoma murmanica,NA
Barentsia gracilis,NA
Diomedea exulans,VU
Fulmarus glacialis,LC
Puffinus puffinus,LC
Pterodroma mollis,LC
Macronectes giganteus,LC
Oceanodroma leucorhoa,LC
Morus bassanus,LC
Phalacrocorax carbo,LC
Phalacrocorax pelagicus,LC
Phalacrocorax aristotelis,LC
Fregata magnificens,LC
Bucephala clangula,LC
Bucephala islandica,LC
Bucephala albeola,LC
Clangula hyemalis,VU
Histrionicus histrionicus,LC
Polysticta stelleri,VU
Somateria mollissima,NT
Somateria spectabilis,LC
Melanitta fusca,LC
Melanitta nigra,LC
Mergus serrator,LC
Stercorarius pomarinus,LC
Stercorarius parasiticus,LC
Stercorarius longicaudus,LC
Larus hyperboreus,LC
Larus glaucoides,LC
Larus marinus,LC
Larus fuscus,LC
Larus argentatus,LC
Larus delawarensis,LC
Larus canus,LC
Larus ridibundus,LC
Pagophila eburnea,NT
Larus melanocephalus,LC
Larus relictus,VU
Rhodostethia rosea,LC
Xema sabini,LC
Rissa tridactyla,LC
Gelochelidon nilotica,LC
Sterna hirundo,LC
Sterna paradisaea,LC
Sterna dougallii,LC
Sterna sandvicensis,LC
Chlidonias niger,LC
Alca torda,NT
Uria aalge,LC
Uria lomvia,LC
Alle alle,LC
Cepphus grylle,LC
Fratercula arctica,VU
Hepomadus tener,NA
Calonectris diomedea,LC
Scalpellum scalpellum,NA
Balanus spongicola,NA
Lernaeodiscus ingolfi,NA
Atylus vedlomensis,NA
Siphonoecetes striatus,NA
Gennadas tinayrei,NA
Sergia regalis,NA
Nephropsis atlantica,LC
Larus cachinnans,LC
Thalassarche chlororhynchos,EN
Thalassarche melanophris,NT
Larus armenicus,NT
Symbion pandora,NA
Echinorhynchus gadi,NA
Glyptelasma hamatum,NA
Monocorophium acherusicum,NA
Monoporeia affinis,NA
Stercorarius skua,LC
Stercorarius maccormicki,LC
Pentacheles laevis,LC
Pentacheles snyderi,LC
Gastroptychus formosus,NA
Eucopia hanseni,NA
Haplostylus lobatus,NA
Haplostylus normani,NA
Heteromysis norvegica,NA
Sergia tenuiremis,NA
Loxosomella compressa,NA
Loxosomella varians,NA
Loxosomella marsypos,NA
Loxosoma significans,NA
Loxosomella nordgaardi,NA
Loxosoma pectinaricola,NA
Loxosoma rhodinicola,NA
Loxosomella elegans,NA
Loxosomella similis,NA
Loxosomella polita,NA
Loxosomella atkinsae,NA
Loxosomella nitschei,NA
Loxosomella phascolosomata,NA
Loxosomella fauveli,NA
Loxosomella discopoda,NA
Loxosomella obesa,NA
Nucella lapillus,NA
Thysanocardia procera,NA
Hydrocoloeus minutus,LC
Sternula albifrons,LC
Xestoleberis aurantia,NA
Calanus finmarchicus,NA
Smilium acutum,NA
Heteralepas cornuta,NA
Balanus crenatus,NA
Balanus improvisus,NA
Acasta cyathus,NA
Trypetesa lampas,NA
Gnathophausia zoea,NA
Acanthomysis longicornis,NA
Boreomysis arctica,NA
Boreomysis megalops,NA
Heteromysis microps,NA
Mysidella typica,NA
Parerythrops obesa,NA
Pseudomma nanum,NA
Pseudomma affine,NA
Mysidopsis gibbosa,NA
Mysidopsis angusta,NA
Erythrops erythrophthalma,NA
Erythrops serrata,NA
Siriella armata,NA
Siriella jaltensis,NA
Siriella norvegica,NA
Mesopodopsis slabberi,NA
Paramysis arenosa,NA
Gastrosaccus sanctus,NA
Gastrosaccus spinifer,NA
Mysidetes farrani,NA
Schistomysis spiritus,NA
Hemimysis lamornae,NA
Hemimysis abyssicola,NA
Leptomysis mediterranea,NA
Leptomysis lingvura,NA
Leptomysis gracilis,NA
Ampelisca aequicornis,NA
Ampelisca spinipes,NA
Ampelisca brevicornis,NA
Dexamine spinosa,NA
Urothoe poseidonis,NA
Bathyporeia pilosa,NA
Hippomedon denticulatus,NA
Aceroides latipes,NA
Monoculodes carinatus,NA
Pontocrates arenarius,NA
Aeginina longicornis,NA
Aeginella spinosa,NA
Phtisica marina,NA
Parapenaeus longirostris,NA
Penaeopsis serrata,NA
Funchalia villosa,NA
Lucifer faxoni,NA
Lucifer typus,NA
Sergestes atlanticus,NA
Sergestes edwardsii,NA
Sergia robusta,NA
Hymenopenaeus debilis,NA
Aristaeomorpha foliacea,NA
Bentheogennema burkenroadi,NA
Bentheogennema intermedia,NA
Benthesicymus bartletti,NA
Benthesicymus brasiliensis,NA
Benthonectes filipes,NA
Gennadas bouvieri,NA
Gennadas capensis,NA
Gennadas scutatus,NA
Hymenodora glacialis,NA
Acanthephyra purpurea,NA
Acanthephyra pelagica,NA
Acanthephyra armata,NA
Acanthephyra stylorostratis,NA
Systellaspis braueri,NA
Systellaspis debilis,NA
Systellaspis pellucida,NA
Oplophorus spinosus,NA
Notostomus elegans,NA
Notostomus gibbosus,NA
Stylodactylus licinus,NA
Pasiphaea tarda,NA
Pasiphaea multidentata,NA
Glyphus marsupialis,NA
Palaemon serratus,NA
Processa canaliculata,NA
Pandalus borealis,NA
Pandalus montagui,NA
Plesionika martia,NA
Plesionika ensis,NA
Crangon crangon,NA
Aegaeon lacazei,NA
Homarus gammarus,LC
Nephrops norvegicus,LC
Palinurus elephas,VU
Polycheles typhlops,LC
Munidopsis curvirostra,NA
Munidopsis serricornis,NA
Tursiops truncatus,LC
Stenella coeruleoalba,LC
Delphinus delphis,LC
Lagenorhynchus albirostris,LC
Lagenorhynchus acutus,LC
Grampus griseus,LC
Pseudorca crassidens,DD
Orcinus orca,DD
Phocoena phocoena,LC
Delphinapterus leucas,NT
Monodon monoceros,NT
Physeter macrocephalus,VU
Ziphius cavirostris,LC
Hyperoodon ampullatus,DD
Mesoplodon bidens,DD
Eschrichtius robustus,LC
Balaenoptera acutorostrata,LC
Balaenoptera edeni,DD
Balaenoptera borealis,EN
Balaenoptera physalus,EN
Balaenoptera musculus,EN
Megaptera novaeangliae,LC
Balaena mysticetus,NT
Eubalaena glacialis,EN
Odobenus rosmarus,DD
Phoca vitulina,LC
Halichoerus grypus,LC
Erignathus barbatus,LC
Cystophora cristata,VU
Globicephala melas,DD
Lutra lutra,NT
Pusa hispida,LC
Pagophilus groenlandicus,LC
Actitis hypoleucos,LC
Alauda arvensis,LC
Anas acuta,LC
Mareca penelope,LC
Anser albifrons,LC
Anser brachyrhynchus,LC
Anthus cervinus,LC
Anthus petrosus,LC
Anthus pratensis,NT
Anthus rubescens,LC
Ardea cinerea,LC
Arenaria interpres,LC
Aythya ferina,VU
Aythya fuligula,LC
Aythya marila,LC
Branta bernicla,LC
Branta leucopsis,LC
Calcarius lapponicus,LC
Calidris alba,LC
Calidris alpina,LC
Calidris canutus,NT
Calidris maritima,LC
Calidris minuta,LC
Calidris minutilla,LC
Calidris pugnax,LC
Calidris temminckii,LC
Catharacta skua,LC
Charadrius dubius,LC
Charadrius hiaticula,LC
Corvus corone,LC
Corvus monedula,LC
Cygnus olor,LC
Eremophila alpestris,LC
Falco columbarius,LC
Falco peregrinus,LC
Falco rusticolus,LC
Fulica atra,LC
Gallinula chloropus,LC
Gavia adamsii,NT
Gavia arctica,LC
Gavia immer,LC
Gavia stellata,LC
Grus grus,LC
Haematopus ostralegus,NT
Haliaeetus albicilla,LC
Hydrobates pelagicus,LC
Jynx torquilla,LC
Limosa lapponica,NT
Limosa limosa,NT
Luscinia svecica,LC
Lymnocryptes minimus,LC
Mergellus albellus,LC
Mergus merganser,LC
Motacilla citreola,LC
Numenius arquata,NT
Numenius phaeopus,LC
Oenanthe oenanthe,LC
Parus palustris,LC
Phalaropus fulicarius,LC
Phalaropus lobatus,LC
Pinguinus impennis,EX
Plectrophenax nivalis,LC
Pluvialis apricaria,LC
Pluvialis squatarola,LC
Podiceps auritus,VU
Podiceps grisegena,LC
Puffinus mauretanicus,CR
Sturnus vulgaris,LC
Tadorna tadorna,LC
Xenus cinereus,LC
Tringa erythropus,LC
Tringa nebularia,LC
Tringa totanus,LC
Vanellus vanellus,NT
Stereomastis nana,LC
Stereomastis sculpta,LC
Bathyplotes natans,LC
Mesothuria intestinalis,LC
Mesothuria lactea,LC
Holothuria forskali,LC
Zostera noltii,LC
Zostera marina,LC
Vulpes lagopus,LC
Ursus maritimus,VU
Dermochelys coriacea,CR
Altiverruca quadrangularis,NA
Metaverruca trisulcata,NA
Hippolyte varians,NA
Neanthes caudata,NA
Leucon septemdentatus,NA
Cumella ocellata,NA
Heterocarpus grimaldii,NA
Polyplumaria flabellata,NA
Caryophyllia communis,NA
Flabellum apertum,NA
Aega antarctica,NA
Adamsia palliata,NA
Aega glacialis,NA
Tedania anhelans,NA
Corallina officinalis,NA
Marginariella boryana,NA
Ulva intestinalis,NA
Grateloupia filicina,NA
Gelidium pusillum,NA
Chondrus crispus,NA
Chaetomorpha linum,NA
Plocamium cartilagineum,NA
Stylonema alsidii,NA
Iridaea cordata,NA
Coscinodiscus wailesii,NA
Ulva lactuca,NA
Macrocystis pyrifera,NA
Codium bursa,NA
Ulva clathrata,NA
Dictyota dichotoma,NA
Pikea californica,NA
Grateloupia doryphora,NA
Fucus serratus,NA
Glyptonotus antarcticus,NA
Cirolana cranchii,NA
Processa nouveli,NA
Politolana micropthalma,NA
Aulactinia verrucosa,NA
Actinothoe sphyrodeta,NA
Pycnogonum litorale,NA
Idotea chelipes,NA
Idotea linearis,NA
Alvania moerchii,NA
Colus kroeyeri,NA
Trophon truncatus,NA
Jaera albifrons,NA
Jaera ischiosetosa,NA
Jaera praehirsuta,NA
Grimalditeuthis bonplandii,LC
Lophogaster typicus,NA
Squilla mantis,NA
Apseudes latreillei,NA
Leptognathia gracilis,NA
Pseudotanais jonesi,NA
Chthamalus stellatus,NA
Verruca stroemia,NA
Bylgides sarsi,NA
Nymphon stromi,NA
Dallina septigera,NA
Exogone naidina,NA
Owenia fusiformis,NA
Pomatoceros triqueter,NA
Pista maculata,NA
Urticina crassicornis,NA
Leiopathes glaberrima,NA
Turritopsis nutricula,NA
Grammaria abietina,NA
Rosacea cymbiformis,NA
Leptychaster arcticus,NA
Diplopteraster multipes,NA
Holothuria tubulosa,LC
Cellepora pumicosa,NA
Scrupocellaria reptans,NA
Amathia lendigera,NA
Chaetonotus dispar,NA
Limatula hyperborea,NA
Crenella fragilis,NA
Lithophaga antillarum,NA
Lithophaga bisulcata,NA
Lithophaga nigra,NA
Nucula turgida,NA
Pododesmus macrochisma,NA
Cyclopecten nanus,NA
Propeamussium pourtalesianum,NA
Solemya reidi,NA
Lucinoma blakeanum,NA
Thyasira brevis,NA
Haliphron atlanticus,LC
Argonauta hians,LC
Bolitaena pygmaea,LC
Benthoctopus piscatorum,NA
Rossia macrosoma,DD
Architeuthis dux,LC
Chiroteuthis veranyi,LC
Chtenopteryx sicula,DD
Egea inermis,LC
Liguriella podophthalma,DD
Teuthowenia megalops,LC
Discoteuthis discus,LC
Joubiniteuthis portieri,LC
Loligo media,NA
Walvisteuthis virilis,NA
Seguenzia monocingulata,NA
Philine finmarchica,NA
Buccinum belcheri,NA
Buccinum polaris,NA
Archidoris montereyensis,NA
Onchidoris bilamellata,NA
Lepidochitona cinerea,NA
Tetrastemma nigrifrons,NA
Aspidosiphon misakiensis,NA
Aspidosiphon muelleri,NA
Aspidosiphon zinni,NA
Golfingia elongata,NA
Golfingia margaritacea,NA
Golfingia muricaudata,NA
Golfingia vulgaris,NA
Nephasoma abyssorum,NA
Nephasoma constrictum,NA
Nephasoma eremita,NA
Nephasoma lilljeborgi,NA
Nephasoma minutum,NA
Phascolion strombus,NA
Phascolion tuberculosum,NA
Phascolosoma granulatum,NA
Anthopleura ballii,NA
Cardium edule,NA
Plesionika narval,NA
Aristaeopsis edwardsiana,NA
Leucopsila stilifera,NA
Paramola cuvieri,NA
Leucosolenia canariensis,NA
Leucosolenia coriacea,NA
Leucosolenia lamarckii,NA
Sidnyum turbinatum,NA
Styela sigma,NA
Diadumene lineata,NA
Philocheras trispinosus,NA
Asajirus eunuchus,NA
Oxynaspis celata,NA
Anapagurus laevis,NA
Siriella clausi,NA
Anoplodactylus petiolatus,NA
Anoplodactylus typhlops,NA
Anoplodactylus virescens,NA
Pallenopsis calcanea,NA
Achelia borealis,NA
Pallenopsis longirostris,NA
Pallenopsis mollissima,NA
Pallenopsis oscitans,NA
Pallenopsis scoparia,NA
Pallenopsis tritonis,NA
Phoxichilidium femoratum,NA
Bonellia viridis,NA
Ascorhynchus abyssi,NA
Fritillaria haplostoma,NA
Oikopleura cophocerca,NA
Oikopleura labradoriensis,NA
Oikopleura longicauda,NA
Oikopleura parva,NA
Stegosoma magnum,NA
Adagnesia charcoti,NA
Agnesiopsis translucida,NA
Proagnesia depressa,NA
Araneum sigma,NA
Ascidia callosa,NA
Ascidia conchilega,NA
Ascidia mentula,NA
Ascidia obliqua,NA
Ascidia prunum,NA
Ascidia tritonis,NA
Ascidia virginea,NA
Ascidiella aspersa,NA
Phallusia mammillata,NA
Ciona intestinalis,NA
Clavelina lepadiformis,NA
Abyssascidia millari,NA
Corella eumyota,NA
